RealmOwner.display_name,RealmOwner.name,Website.url,calendar.Website.url,Email.email,Phone.phone,Address.street1,Address.street2,Address.city,Address.state,Address.zip,Address.country,GeoPosition.latitude,GeoPosition.longitude,SearchWords.value
CU Cristol Chemistry & Biochemistry,v-cu_cristol,http://events.colorado.edu,http://events.colorado.edu/EventList.aspx?view=Summary,ignore-cu_cristol@colorado.edu,,1606 Central Campus Mall,,Boulder,CO,80302,US,40.0078856,-105.2702092,
CU Duane Physics,v-cu_duane,http://events.colorado.edu,http://events.colorado.edu/EventList.aspx?view=Summary,ignore-cu_duane@colorado.edu,,2000 Colorado Av,,Boulder,CO,80302,US,40.0079158,-105.2673207,
CU Imig Music Building,v-cu_imig,http://music.colorado.edu,http://music.colorado.edu/events/,ignore-cu_imig@bivio.biz,,1020 18th Street,,Boulder,CO,80302,US,40.0043556,-105.2695737,
CU Loft Theatre,v-cu_lofttheatre,http://www.colorado.edu/theatredance/,http://www.colorado.edu/theatredance/,tdbxoff@colorado.edu,303.492.8181,1515 Central Campus Mall,,Boulder,CO,80309,US,40.0078856,-105.2702092,
CU Macky Auditorium,v-cu_macky,http://macky.colorado.edu,http://macky.colorado.edu/events/,ignore-cu_macky@bivio.biz,,1595 Pleasant St,,Boulder,CO,80302,US,40.0100476,-105.2728307,
CU Muenzinger Psychology & Biopsychology,v-cu_muenzinger,http://psych.colorado.edu/muenzinger-location.html,http://psych.colorado.edu/muenzinger-location.html,ignore-cu_muenzinger@bivio.biz,,1905 Colorado Ave,,Boulder,CO,80302,US,40.0082662,-105.2684148,
CU Museum,v-cu_museum,http://cumuseum.colorado.edu,http://cumuseum.colorado.edu/Calendar/eventslist.php,cumuseum@colorado.edu,303.492.6892,1030 Broadway,,Boulder,CO,80309,US,40.0064303,-105.2730148,
Curious Theatre,v-curioustheatre,http://www.curioustheatre.org/,http://www.curioustheatre.org/index.php?s=20,boxoffice@curioustheatre.org,303.623.0524,1080 Acoma St,,Denver,CO,80204,US,39.7334607,-104.9885548,
Cuvee,v-cuvee,http://www.chezcuvee.com,http://www.chezcuvee.com/live_music/,ralphreutimann@me.com,303.447.0475,946 Pearl Street,,Boulder,CO,80304,US,40.017188,-105.2826621,
Daniels Hall at Swallow Hill,v-swallowhill_danielshall,http://swallowhillmusic.org/,http://events.swallowhill.com/Default.asp,ignore-swallowhill_danielshall@bivio.biz,303.777.1003,71 East Yale Avenue,,Denver,CO,80210,US,39.667954,-104.9866909,
Dazzle Jazz,v-dazzlejazz,http://www.dazzlejazz.com/,http://www.dazzlejazz.com/index.php?s=20&pagetemplate=rss,ignore-dazzlejazz@bivio.biz,303.839.5100,930 Lincoln Street,,Denver,CO,80203,US,39.731043,-104.9860572,
Denver Botanic Gardens,v-botanicgardens,http://www.botanicgardens.org/,http://calendar.botanicgardens.org/calendar,ignore-botanicgardens@bivio.biz,720.865.3500,1007 York Street,,Denver,CO,80206,US,39.7320425,-104.9600977,
Denver Botanic Gardens at Chatfield,v-botanicgardens_chatfield,http://www.botanicgardens.org/,http://calendar.botanicgardens.org/calendar,ignore-botanicgardens_chatfield@bivio.biz,303.973.3705,8500 West Deer Creek Canyon Road,,Littleton,CO,80128,US,39.5506625,-105.0993163,
Denver Civic Center Park,v-atasteofcolorado,http://www.atasteofcolorado.com/,http://www.atasteofcolorado.com/music_main.asp,ignore-atasteofcolorado@bivio.biz,303.295.6330,100 W 14th Ave Pkwy,,Denver,CO,80204,US,39.7371756,-104.9892578,
Denver Coliseum,v-denvercoliseum,http://www.denvercoliseum.com/,http://www.denvercoliseum.com/EventCalendar.aspx,ignore-denvercoliseum@bivio.biz,720.865.4220,4600 Humboldt Street,,Denver,CO,80216,US,39.7792551,-104.9705672,
Denver Zoo,v-denverzoo,http://www.denverzoo.org,http://www.denverzoo.org,ignore-denverzoo@bivio.biz,303.376.4825,2300 Steele Street,,Denver,CO,80205,US,39.7502343,-104.9496601,
Dickens Opera House,v-dickensopera,http://www.dickensoperahouse.com/,http://www.dickensoperahouse.com/,ignore-dickensopera@bivio.biz,303.834.9384,3rd & Main,,Longmont,CO,80501,US,-18.5404078,47.8293228,
Dick's Sporting Goods Stadium and Park,v-dickssportinggoodspark,http://www.dickssportinggoodspark.com,http://www.dickssportinggoodspark.com/Stadium/Events.aspx,ignore-dickssportinggoodspark@bivio.biz,303.727.3500,6000 Victory Way,,Commerce City,CO,80022,US,39.8056743,-104.8910822,
Elitch Gardens,v-elitchgardens,http://elitchgardens.com/,http://elitchgardens.com/entertainment/concerts/,ignore-elitchgardens@bivio.biz,303.595.4386,2000 Elitch Circle,,Denver,CO,80204,US,39.7502094,-105.0110042,
Ellie Caulkins Opera House,v-operacolorado,http://www.operacolorado.org,http://www.operacolorado.org/about/calendar/,ignore-operacolorado@bivio.biz,720.865.4220,950 13th Street,,Denver,CO,80204,US,39.743234,-104.999266,
First Baptist Church,v-firstbaptist,http://www.fbc-boulder.org/,http://www.fbc-boulder.org/,ignore-firstbaptist@bivio.biz,,1237 Pine Street,,Boulder,CO,80302,US,40.0203381,-105.279802,
First Congregational Church,v-firstcongregational,http://www.firstcong.net,http://www.firstcong.net,ignore-firstcongregational@bivio.biz,,1128 Pine Street,,Boulder,CO,80302,US,40.0195637,-105.2810925,
First Presbyterian Church,v-firstpresbyterian,http://www.fpcboulder.org,http://www.fpcboulder.org,ignore-firstpresbyterian@bivio.biz,,1820 15th Street,,Boulder,CO,80302,US,40.017317,-105.274874,
First United Methodist Church,v-firstunited,http://www.fumcboulder.org/,http://www.fumcboulder.org/cultural_events.jsp,ignore-firstunited@bivio.biz,,1421 Spruce Street,,Boulder,CO,80302,US,40.0198474,-105.2772841,
Fiske Planetarium and Science Center,v-cu_fiske,http://fiske.colorado.edu,http://fiske.colorado.edu/events/index.php,fiske@colorado.edu,303.492.5002,408 UCB,,Boulder,CO,80309,US,40.0149856,-105.2705456,
Flatirons Crossing,v-flatironcrossing,http://www.flatironcrossing.com/,http://www.flatironcrossing.com/Events?list=all,ignore-flatironcrossing@bivio.biz,720.887.7467,One West FlatIron Crossing Dr,,Broomfield,CO,80021,US,39.932939,-105.132472,
Foothills Animal Shelter,v-foothillsanimalshelter,http://www.foothillsanimalshelter.org,http://www.foothillsanimalshelter.org/news-events/events/,ignore-foothillsanimalshelter@bivio.biz,303.278.7575,4105 Youngfield Street,,Golden,CO,80401,US,39.7725975,-105.1426906,
Four Mile Historic Park,v-fourmilepark,http://www.fourmilepark.org/,http://www.fourmilepark.org/,ignore-fourmilepark@bivio.biz,720.865.0800,715 South Forest St,,Denver,CO,80246,US,39.703113,-104.927312,
Fox Theatre,v-foxtheatre,http://foxtheatre.com,http://foxtheatre.com/Store/ChooseTicket.aspx,ignore-foxtheatre@colorado.edu,,1135 13th Street,,Boulder,CO,80304,US,40.00802,-105.2765749,
Frasca Food and Wine,v-frascafoodandwine,http://www.frascafoodandwine.com/,http://www.frascafoodandwine.com/calendar.html,ignore-frascafoodandwine@bivio.biz,303.442.6966,1738 Pearl Street,,Boulder,CO,80302,US,40.0192053,-105.2724707,
Funky Buddha,v-coclubs_funkybuddha,http://www.coclubs.com/venue/detail/funky-buddha,http://www.coclubs.com/venue/detail/funky-buddha,ignore-coclubs_funkybuddha@bivio.biz,303.832.8628,776 Lincoln Street,,Denver,CO,80203,US,39.7286631,-104.9857784,
Gold Hill Inn,v-goldhill,http://www.goldhillinn.com,http://www.goldhillinn.com,ignore-goldhill@bivio.biz,303.443.6461,401 Main Street,,Gold Hill,CO,80302,US,40.0631611,-105.4091123,
Gothic Theatre,v-gothictheatre,http://www.gothictheatre.com/,http://www.gothictheatre.com/calendar/,ignore-gothictheatre@bivio.biz,303.788.0984,3263 South Broadway,,Englewood,CO,80113,US,39.657665,-104.9879912,
Grace Lutheran Church,v-gracelutheran,http://www.graceboulder.org/,http://www.graceboulder.org/,ignore-gracelutheran@bivio.biz,,1001 13th St.,,Boulder,CO,80302,US,40.0057757,-105.276501,
Grizzly Rose,v-grizzlyrose,http://www.grizzlyrose.com,http://www.grizzlyrose.com/calendar/default.html,ignore-grizzlyrose@bivio.biz,303.295.2353,5450 North Valley Highway (Lincoln Ave),,Denver,CO,80216,US,39.7320488,-104.9861214,
Harlequin's Gardens,v-harlequin,http://www.harlequinsgardens.com/,http://www.harlequinsgardens.com/classes/,ignore-harlequin@bivio.biz,303.939.9403,4795 North 26th St,,Boulder,CO,80301,US,40.061585,-105.263952,
Harmony Music House,v-harmonymusic,http://www.harmonymusichouse.com,http://www.harmonymusichouse.com/concerts,info@harmonymusichouse.com,303-444-7444,2525 Broadway St.,,Boulder,CO,80304,US,40.0241798,-105.2822219,
Herb's,v-herbsbar,http://www.herbsbar.com,http://www.herbsbar.com/events.cfm,ignore-herbsbar@bivio.biz,303.299.9555,2057 Larimer Street,,Denver,CO,80205,US,39.753925,-104.991808,
Herman's Hideaway,v-hermanshideaway,http://www.hermanshideaway.com,http://www.hermanshideaway.com/feeds/rss/all/feed.xml,ignore-hermanshideaway@bivio.biz,303.777.5840,1578 S Broadway,,Denver,CO,80210,US,39.687908,-104.987117,
Herritage Square,v-heritagesquare,http://www.heritagesquare.info/,http://www.heritagesquare.info/events.html,ignore-heritagesquare@bivio.biz,303.279.7800,18301 West Colfax Avenue Golden,,Golden,CO,80401,US,39.7138666,-105.2120084,
Hi-Dive,v-hi_dive,http://www.hi-dive.com/,http://www.hi-dive.com/,info@hi-dive.com,720.570.4500,7 S. BROADWAY,,Denver,CO,80223,US,39.7163492,-104.9877088,
Hodi's Half Note,v-hodishalfnote,http://www.hodishalfnote.com/,http://www.hodishalfnote.com/,ignore-hodishalfnote@bivio.biz,,167 North College Avenue,,Fort Collins,CO,80524,US,40.5883674,-105.0774086,
Hotel Boulderado,v-boulderado,http://www.boulderado.com,http://www.boulderado.com/musiconthemezz.html,ignore-boulderaro@bivio.biz,303.442.4344,2115 Thirteenth St.,,Boulder,CO,80302,US,40.019392,-105.2794289,
Hudson Gardens and Event Center,v-hudsongardens,http://www.hudsongardens.org,http://www.hudsongardens.org/content/concerts2011.php,ignore-hudsongardens@bivio.biz,303.797.8565,6115 South Santa Fe Drive,,Littleton,CO,80120,US,39.605379,-105.0213347,
Humane Society of Boulder Valley,v-boulderhumane,http://www.boulderhumane.org/,http://www.boulderhumane.org/get-involved/events-calendar,ignore-boulderhumane@bivio.biz,303.442.4030,2323 55th Street,,Boulder,CO,80301,US,40.022357,-105.226523,
Innisfree Poetry Bookstore & Cafe,v-innisfree,http://www.innisfreepoetry.com/,http://www.innisfreepoetry.com/,ignore-innisfree@bivio.biz,303.579.1644,1203 13th Street Suite A,,Boulder,CO,80302,US,40.0088343,-105.276495,
Invesco Field at Mile High,v-invescofieldatmilehigh,http://www.invescofieldatmilehigh.com/,http://www.invescofieldatmilehigh.com/calendar_events/overview,ignore-invescofieldatmilehigh@bivio.biz,720.258.3000,1701 Bryant Street,,Denver,CO,80204,US,39.7438991,-105.0200275,
Jamestown Mercantile Co. Cafe,v-jamestownmercantile,http://www.jamestownmercantile.com/home,http://www.jamestownmercantile.com/events,ignore-jamestownmercantile@admin.cal54.dev.bivio.biz,303.442.5847,108 Main Street,,Boulder,CO,80455,US,40.0634015,-105.407397,
Jazz at Jack's,v-jazzatjacks,http://jazzatjacks.com,http://www.localendar.com/public/long49?style=M3,ignore-jazzatjacks@bivio.biz,303.433.1000,500 16th Street,,Denver,CO,80202,US,39.7428701,-104.9905083,
Jazz on 2nd Avenue,v-jazzon2ndave,http://www.jazzon2ndave.com,http://www.jazzon2ndave.com/performance-schedule.html,jazzon2ndave@gmail.com,720.924.6222,2nd Avenue,,Niwot,CO,80503,US,40.1029286,-105.1718544,
Jefferson Unitarian Church,v-jeffersonunitarian,http://www.jeffersonunitarian.org/,http://www.jeffersonunitarian.org/,ignore-jeffersonunitarian@bivio.biz,,14350 W. 32nd Avenue,,Golden,CO,80401,US,39.761078,-105.160109,
Johnny's Cigar Bar,v-cigar,http://www.johnnyscigars.com/,http://www.johnnyscigars.com/calendar/,info@johnnyscigars.com,303.449.0884,1801 13th Street,,Boulder,CO,80302,US,40.0165,-105.278795,
Lannie's Clocktower Cabaret,v-lannies,http://lannies.com/,http://lannies.com/?page_id=6735,ignore-lannies@bivio.biz,303.293.0075,1601 Arapahoe Street,,Denver,CO,80202,US,39.7481154,-104.9956397,
Larimer Lounge,v-larimerlounge,http://larimerlounge.com,http://larimerlounge.com/calendar_list.cfm,ignore-larimerlounge@bivio.biz,303.291.1007,2721 Larimer Street,,Denver,CO,80205,US,39.7599514,-104.9838153,
La Rumba,v-larumba,http://www.denver3.com,http://www.denver3.com,ignore-larumba@bivio.biz,303.572.8006,99 W 9th Avenue,,Denver,CO,80204,US,39.7306611,-104.9885976,
Left Hand Books,v-lefthandbooks,http://www.lefthandbooks.org/index.html,http://www.lefthandbooks.org/lhbevents.html,ignore-lefthandbooks@bivio.biz,303 443 8252,1200 Pearl Street #10,,Boulder,CO,80302,US,40.01762,-105.2797091,
Lila B Lounge,v-lilablounge,http://lilablounge.com,http://lilablounge.com/music/,ignore-lilablounge@admin.cal54.dev.bivio.biz,720.274.6800,5345 Landmark Place,,Greenwood Village,CO,80111,US,39.6187674,-104.9014495,
Lincoln's Road House,v-lincolnsroad,http://www.lincolnsroadhouse.com/,http://www.lincolnsroadhouse.com/,ignore-lincolnsroad@bivio.biz,303.777.3700,1201 S. Pearl St.,,Denver,CO,80210,US,39.6946106,-104.9807803,
Lola,v-loladenver,http://www.loladenver.com,http://www.loladenver.com/Events/LiveMusic/tabid/636/Default.aspx,ignore-loladenver@bivio.biz,720.570.8686,1575 Boulder Street,,Denver,CO,80211,US,39.759242,-105.010975,
Louisville Center for the Arts,v-louisvillearts,http://www.louisvilleart.org,http://www.louisvilleart.org,ignore-louisvillearts@bivio.biz,,801 Grant Ave,,Louisville,CO,80027,US,39.9783738,-105.1357752,
Louisville Community Park,v-louisvilleco,http://www.louisvilleco.gov/HOME/tabid/36/Default.aspx,http://www.louisvilleco.gov/GOVERNMENT/BoardsCommissions/CulturalCouncil/CulturalCouncilEvents/tabid/393/Default.aspx,ignore-louisvilleco@bivio.biz,303.666.6565,951 Bella Vista Drive,,Louisville,CO,80027,US,39.970279,-105.1308716,
Louisville Farmers Market,v-farmersmarketlouis,http://www.farmersmarketlouis.com/,http://www.farmersmarketlouis.blogspot.com/,louisvillefarmersmarket@comcast.net,303.902.2451,824 Front St,,Louisvilee,CO,80027,US,39.9784038,-105.1305847,
Louisville Public Library,v-library_louisvilleco,http://library.louisvilleco.gov,http://library.louisvilleco.gov/RESOURCES/EventCalendar/tabid/537/ModuleID/771/mctl/EventMonth/Default.aspx,ignore-library_louisvilleco@bivio.biz,303.335.4849,951 Spruce Street,,Louisville,CO,80027,US,39.9780582,-105.1311297,
Lucky Pie,v-luckypiepizza,http://www.luckypiepizza.com/index.html,http://www.luckypiepizza.com/lucky-pie-events.html,ignore-luckypiepizza@bivio.biz,303.666.5743,637 front street,,Louisville,CO,80027,US,39.9762509,-105.1307764,
Madcap Theater,v-madcapimprov,http://www.madcapimprov.com,http://www.madcapimprov.com/ourshows/ticketsandtimes.html,ignore-madcapimprov@bivio.biz,303.460.3854,10679 Westminster Boulevard,,Westminster,CO,80020,US,39.8903085,-105.0696758,
Marquis Theater,v-denvermusicvenues_marquis,http://www.denvermusicvenues.com/,http://www.denvermusicvenues.com/events/Soda-Jerk-Presents.htm,ignore-denvermusicvenues_marquis@bivio.biz,303.292.0805,2009 Larimer Street,,Denver,CO,80205,US,39.753375,-104.992521,
Marys Lake Lodge and Resort,v-maryslake,http://www.maryslakelodge.com,http://www.maryslakelodge.com,ignore-maryslake@bivio.biz,970.586.5958,2625 Marys Lake Road,,Estes Park,CO,80517,US,40.3383927,-105.5315393,
McKinners Pizza Bar,v-mckinners,http://www.mckinners.com/,http://www.mckinners.com/,ignore-mckinners@bivio.biz,303.798.8500,2389 W Main St,,Littleton,CO,80120,US,39.613945,-105.015929,
Meadowlark Bar,v-meadowlarkbar,http://www.meadowlarkbar.com/,http://www.meadowlarkbar.com/calendar.htm,events@meadowlarkbarevents.com,303.293.0251,2701 Larimer St.,,Denver,CO,80205,US,39.759703,-104.984116,
Mile High Marketplace,v-milehighmarketplace,http://milehighmarketplace.com,http://milehighmarketplace.com/en/Events/,ignore-milehighmarketplace@bivio.biz,303.289.4656,7007 East 88th Avenue,,Henderson,CO,80640,US,39.8589001,-104.904494,
Milk,v-coclubs_milk,http://www.coclubs.com/venue/detail/milk,http://www.coclubs.com/venue/detail/milk,ignore-coclubs_milk@bivio.biz,303.832.8628,1037 Broadway,,Denver,CO,80203,US,39.7328127,-104.9876076,
Millennium Harvest House,v-millennium,http://www.millenniumhotels.com/millenniumboulder/index.html,http://www.millenniumhotels.com/millenniumboulder/index.html,boulder@mhrmail.com,303.443.3850,1345 Twenty-Eighth Street,,Boulder,CO,80302,US,40.0168152,-105.2852262,
